dataset,pieces,mode,placed,rejected,util_pct,solve_ms
br_style_BR1_seed1,138,easy,98,40,81.0,26
br_style_BR1_seed1,138,fill,94,44,79.1,17
br_style_BR1_seed1,138,balanced,96,42,80.1,15
br_style_BR1_seed2,109,easy,84,25,77.6,6
br_style_BR1_seed2,109,fill,81,28,74.9,3
br_style_BR1_seed2,109,balanced,81,28,74.9,2
br_style_BR1_seed3,125,easy,75,50,67.8,6
br_style_BR1_seed3,125,fill,73,52,66.5,9
br_style_BR1_seed3,125,balanced,74,51,67.1,6
br_style_BR2_seed1,102,easy,75,27,75.5,6
br_style_BR2_seed1,102,fill,84,18,83.5,4
br_style_BR2_seed1,102,balanced,81,21,81.7,2
br_style_BR2_seed2,309,easy,240,69,76.0,75
br_style_BR2_seed2,309,fill,240,69,76.0,27
br_style_BR2_seed2,309,balanced,240,69,76.0,19
br_style_BR2_seed3,228,easy,134,94,71.9,12
br_style_BR2_seed3,228,fill,138,90,72.8,8
br_style_BR2_seed3,228,balanced,140,88,73.2,8
br_style_BR3_seed1,352,easy,175,177,66.5,23
br_style_BR3_seed1,352,fill,224,128,80.4,10
br_style_BR3_seed1,352,balanced,222,130,80.1,10
br_style_BR3_seed2,185,easy,109,76,76.5,6
br_style_BR3_seed2,185,fill,125,60,81.5,4
br_style_BR3_seed2,185,balanced,119,66,79.7,4
br_style_BR3_seed3,233,easy,148,85,72.3,12
br_style_BR3_seed3,233,fill,169,64,82.7,5
br_style_BR3_seed3,233,balanced,171,62,80.6,4
br_style_BR4_seed1,189,easy,110,79,71.0,5
br_style_BR4_seed1,189,fill,130,59,78.2,4
br_style_BR4_seed1,189,balanced,122,67,77.0,5
br_style_BR4_seed2,119,easy,72,47,74.5,3
br_style_BR4_seed2,119,fill,67,52,72.3,1
br_style_BR4_seed2,119,balanced,66,53,71.4,1
br_style_BR4_seed3,284,easy,178,106,77.6,11
br_style_BR4_seed3,284,fill,145,139,80.1,5
br_style_BR4_seed3,284,balanced,150,134,78.8,6
br_style_BR5_seed1,240,easy,152,88,77.4,14
br_style_BR5_seed1,240,fill,139,101,77.5,8
br_style_BR5_seed1,240,balanced,146,94,76.7,8
br_style_BR5_seed2,257,easy,127,130,78.1,11
br_style_BR5_seed2,257,fill,113,144,78.8,5
br_style_BR5_seed2,257,balanced,133,124,78.3,6
br_style_BR5_seed3,209,easy,115,94,78.7,7
br_style_BR5_seed3,209,fill,106,103,77.2,6
br_style_BR5_seed3,209,balanced,111,98,76.5,7
br_style_BR7_seed1,209,easy,124,85,73.9,9
br_style_BR7_seed1,209,fill,145,64,80.8,6
br_style_BR7_seed1,209,balanced,137,72,79.0,6
br_style_BR7_seed2,161,easy,96,65,69.7,13
br_style_BR7_seed2,161,fill,97,64,73.5,10
br_style_BR7_seed2,161,balanced,98,63,71.1,8
br_style_BR7_seed3,240,easy,133,107,75.0,10
br_style_BR7_seed3,240,fill,128,112,75.4,9
br_style_BR7_seed3,240,balanced,137,103,78.1,10
realistic_ecommerce,365,easy,357,8,56.1,55
realistic_ecommerce,365,fill,365,0,57.8,51
realistic_ecommerce,365,balanced,365,0,57.8,42
realistic_industrial,73,easy,60,13,73.9,2
realistic_industrial,73,fill,55,18,69.4,2
realistic_industrial,73,balanced,59,14,73.0,1
stress_fragile,136,easy,136,0,44.0,6
stress_fragile,136,fill,136,0,44.0,3
stress_fragile,136,balanced,136,0,44.0,4
