name,length_cm,width_cm,height_cm,weight_kg,qty,fragile
T1,44,28,49,18.0,35,no
T2,81,99,31,43.5,9,no
T3,52,59,43,27.2,17,yes
T4,96,92,37,58.2,6,no
T5,82,31,48,16.1,6,yes
T6,35,88,31,19.8,8,yes
T7,105,40,25,14.6,5,no
T8,79,76,53,39.1,6,no
T9,110,87,20,38.1,5,no
T10,80,53,31,22.7,4,yes
T11,44,41,71,18.8,16,no
T12,72,54,36,27.3,3,no
T13,36,94,40,20.2,18,no
T14,41,68,53,19.9,14,no
T15,106,75,31,67.8,7,no
T16,41,50,77,36.5,15,no
T17,64,77,55,80.2,9,no
T18,30,45,38,9.0,14,no
T19,44,70,61,34.6,9,no
T20,55,39,59,16.2,3,no
